               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09184,             0.02473,            0.023474,             0.47667,             0.51989,             0.42058,             0.14316,            0.055327,               0.014,           0.0099883,            0.070526,           0.0032749,           0.0032749
                   1,            0.064397,            0.018299,           0.0078453,             0.35991,              0.6418,             0.39633,             0.13302,            0.059116,            0.008207,           0.0025906,            0.040461,           0.0065428,           0.0065428
                   2,             0.06073,            0.014738,           0.0057531,             0.60669,              0.6976,             0.72024,             0.27747,            0.047555,            0.007514,           0.0030117,            0.010329,           0.0097447,           0.0097447
                   3,            0.053599,            0.012087,           0.0050814,             0.42937,             0.75029,             0.56867,             0.23577,            0.043678,           0.0067499,           0.0039395,            0.009703,            0.009703,            0.009703
                   4,            0.048259,            0.011229,           0.0039523,             0.63188,             0.87965,             0.78591,             0.40979,            0.034643,           0.0055665,           0.0014557,            0.009703,            0.009703,            0.009703
                   5,            0.044264,           0.0098722,           0.0035795,             0.85613,             0.82942,             0.86687,              0.4894,            0.039748,           0.0052447,           0.0024081,            0.009604,            0.009604,            0.009604
                   6,            0.041735,           0.0093327,           0.0030039,             0.82548,             0.85539,             0.84323,             0.37404,            0.037977,           0.0048886,           0.0014902,            0.009505,            0.009505,            0.009505
                   7,            0.039674,           0.0090157,           0.0031067,              0.9014,             0.93072,             0.96112,             0.45222,            0.035896,           0.0046812,           0.0010344,            0.009406,            0.009406,            0.009406
                   8,            0.039167,           0.0090875,           0.0031417,              0.8178,             0.93982,             0.84166,             0.42834,            0.033165,            0.004837,          0.00091456,            0.009307,            0.009307,            0.009307
                   9,            0.038168,           0.0087638,           0.0027075,             0.97925,              0.9762,             0.99336,             0.58216,             0.02835,           0.0040853,          0.00073897,            0.009208,            0.009208,            0.009208
                  10,            0.035798,           0.0084228,           0.0020473,             0.93051,             0.93079,              0.9254,              0.5299,            0.028708,           0.0040535,           0.0010337,            0.009109,            0.009109,            0.009109
                  11,            0.036308,           0.0081943,           0.0015975,             0.93912,             0.96973,             0.97302,              0.5611,            0.026243,           0.0038412,          0.00059801,             0.00901,             0.00901,             0.00901
                  12,            0.034431,             0.00789,           0.0019749,             0.94397,             0.96709,             0.98281,             0.60478,            0.026913,           0.0041385,          0.00058698,            0.008911,            0.008911,            0.008911
                  13,            0.034772,           0.0083022,           0.0022679,             0.97735,             0.95335,             0.97431,             0.59617,            0.024701,           0.0041137,          0.00069349,            0.008812,            0.008812,            0.008812
                  14,            0.032366,           0.0079954,            0.001605,             0.98295,              0.9804,             0.99377,             0.64132,            0.023429,            0.003742,          0.00052645,            0.008713,            0.008713,            0.008713
                  15,            0.031765,           0.0079246,           0.0018849,              0.9725,             0.96991,             0.98239,             0.58945,            0.026128,           0.0038251,          0.00043481,            0.008614,            0.008614,            0.008614
                  16,            0.031416,           0.0081128,           0.0016613,             0.98994,             0.99245,              0.9948,              0.6246,            0.022574,           0.0038763,          0.00080949,            0.008515,            0.008515,            0.008515
                  17,            0.030775,           0.0074699,           0.0016126,             0.97129,             0.96902,              0.9838,             0.62043,            0.024148,           0.0038804,           0.0008163,            0.008416,            0.008416,            0.008416
